Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-1,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,ACA,0.00130,$/Dth,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-1,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Commodity,0.01120,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-1,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,1.08000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-1,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,0.68000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-1,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Overrun,0.22730,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-1,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Reservation,6.57340,$/Dth/mth ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-4,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,ACA,0.00130,$/Dth,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-4,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Commodity,0.00130,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-4,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,1.08000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-4,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,0.68000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-4,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Overrun,0.11710,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-4,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Reservation,3.52110,$/Dth/mth ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-E,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,ACA,0.00130,$/Dth,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-E,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Commodity,0.01120,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-E,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,1.08000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-E,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,0.68000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-E,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Overrun,0.22730,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-E,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Reservation,6.57340,$/Dth/mth ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-ES,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,ACA,0.00130,$/Dth,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-ES,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Commodity,0.22730,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-ES,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,1.08000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-ES,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,0.68000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-ES,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Overrun,0.22730,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-ES,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Reservation,2.62940,$/Dth/mth ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-IS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,ACA,0.00130,$/Dth,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-IS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Commodity,0.22730,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-IS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,1.08000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-IS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Fuel,0.68000,%         ,Zone to Zone,System - non-Beverly Receipts
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-IS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Overrun,0.22730,$/Dth     ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT-IS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,Reservation,2.62940,$/Dth/mth ,System,Entire System
"Algonquin Gas Transmission, LLC",07/01/2018,AFT1-ABS,"AGT-Wanaque Interconnect (Passaic,NJ) | 208",NaN,AGT Delivery To Norwich | 1228969,NaN,ACA,0.00130,$/Dth,System,Entire System
